Name, Lat, Lon
Uncertain 1,48.26216667,-124.9499494
Uncertain 2,48.26216667,-124.9509562
Uncertain 3,48.26116667,-125.3873506
Uncertain 4,48.27195303,-125.5583691
Uncertain 5,48.26929391,-125.5578806
Uncertain 6,48.26251566,-125.556909
Uncertain 7,47.92600462,-125.1255443
Uncertain 8,47.926,-125.1548667
Uncertain 9,47.9265,-125.1797497
Uncertain 10,47.92642339,-125.1826773
Uncertain 11,47.92642208,-125.1833449
Uncertain 12,47.92641667,-125.1845586
Uncertain 13,47.92642225,-125.1838159
Uncertain 14,47.92640069,-125.185651
Uncertain 15,47.92640689,-125.1867782
Uncertain 16,47.92639906,-125.1886785
Uncertain 17,47.92638833,-125.1893397
Uncertain 18,47.92616667,-125.2046667
Uncertain 19,47.92610281,-125.2082371
Uncertain 20,47.92606307,-125.5588604
Uncertain 21,47.926,-125.5617592
Uncertain 22,47.92583333,-125.5658333
Uncertain 23,47.92583333,-125.5667768
Uncertain 24,47.92574167,-125.5697071
Uncertain 25,47.92569359,-125.5715786
Uncertain 26,47.96498503,-125.4984355
Uncertain 27,47.96462317,-125.4982627
Uncertain 28,47.96387165,-125.4978797
Uncertain 29,47.96262716,-125.4972697
Uncertain 30,47.96168074,-125.496802
Uncertain 31,47.9613534,-125.49664
Uncertain 32,47.93065489,-125.5405083
Uncertain 33,47.75483333,-125.063
Uncertain 34,47.76179527,-124.9998928
Uncertain 35,47.25790833,-124.6526559
Uncertain 36,46.6114121,-124.1899121
Uncertain 37,46.60784347,-124.1886667
Uncertain 38,46.60761522,-124.1886152
Uncertain 39,46.58431985,-124.5464318
Uncertain 40,46.25049751,-124.5317214
Uncertain 41,46.25074084,-124.5377446
Uncertain 42,46.25,-124.5200073
Uncertain 43,46.25,-124.5170013
Uncertain 44,46.75043828,-124.7302889
Uncertain 45,46.67794929,-124.7292959
Uncertain 46,46.67844231,-124.7302756
