year,type,lat,long
2018,Seep,34.30313395,-119.6627022
2018,Seep,34.30489295,-119.6587069
2018,Seep,34.30599419,-119.6561496
2018,Seep,34.30705465,-119.6537856
2018,Seep,34.30745661,-119.6529843
2018,Seep,34.30962868,-119.6497856
2018,Seep,34.31421085,-119.6417004
2018,Seep,34.31448865,-119.6413006
2018,Seep,34.31506105,-119.6404063
2018,Uncertain,34.31522228,-119.6401221
2018,Uncertain,34.31285727,-119.5988784
2018,Uncertain,34.31248875,-119.5981635
2018,Uncertain,34.31229496,-119.5977262
2018,Seep,34.31215159,-119.5973783
2018,Seep,34.20925589,-119.4475422
2018,Seep,34.19540302,-119.4724486
2018,Seep,34.19444385,-119.4735925
2018,Seep,34.0840732,-119.9365673
2018,Seep,34.08666064,-119.9346788
2018,Seep,33.88328771,-120.0542453
2018,Seep,35.75317799,-121.3657757
2018,Uncertain,37.09179947,-122.4286398
2018,Seep,36.86033879,-121.9197765
2018,Seep,36.84520348,-121.9074661
2018,Seep,36.73344011,-121.8694529
2018,Seep,36.71836493,-121.8552787
2018,Seep,47.16993319,-125.9576454
2018,Seep,47.2713088,-125.9712793
2018,Uncertain,48.56207947,-125.4009137
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,999,999
2018,Seep,48.50190952,-125.685676
2018,Seep,48.50087309,-125.6920129
2018,Seep,39.34300476,-124.5786241
2018,Uncertain,37.91553114,-123.4341539
2018,Seep,37.94513847,-123.3933942
2018,Uncertain,40.92414109,-124.2262614
2018,Uncertain,41.21536458,-125.0220062
2018,Uncertain,41.92131371,-124.7587968
2018,Uncertain,41.93297323,-125.1848663
2018,Uncertain,41.76540933,-125.0944349
2018,Seep,42.75651682,-125.3504894
2018,Seep,42.64013953,-124.8455305
2018,Seep,42.63632788,-124.8429573
2018,Seep,42.63407574,-124.841257
2018,Seep,42.63237404,-124.8399105
2018,Seep,42.60758275,-124.8756096
2018,Seep,42.60632672,-124.8875024
2018,Seep,42.60586483,-124.8920466
2018,Seep,42.60415887,-124.9108859
2018,Seep,42.603227,-124.9227671
2018,Seep,42.60279321,-124.9338724
2018,Seep,42.60261804,-124.9376453
2018,Seep,42.60201726,-124.9539597
2018,Seep,42.60087049,-124.9967409
2018,Seep,42.60083407,-124.9992181
2018,Seep,42.6007304,-125.0052677
2018,Seep,42.60067636,-125.0068632
2018,Seep,42.57926306,-125.2292721
2018,Seep,42.5778282,-125.2311549
2018,Seep,42.57696219,-125.2322037
2018,Seep,42.5763144,-125.2329903
2018,Seep,42.42296358,-124.9703628
2018,Seep,42.42464167,-124.9616797
2018,Seep,42.42470603,-124.9612614
2018,Seep,42.34396164,-124.8037608
2018,Uncertain,43.09507798,-125.2259343
2018,Uncertain,43.09463974,-125.2166555
2018,Uncertain,43.09471507,-125.2184819
2018,Uncertain,43.09451588,-125.2128243
2018,Uncertain,43.09453207,-125.2228334
2018,Uncertain,43.09617714,-125.2428148
2018,Uncertain,43.09649366,-125.2464271
2018,Uncertain,43.0961892,-125.2391576
2018,Uncertain,43.09429446,-125.2156708
2018,Uncertain,43.09500251,-125.189577
2018,Seep,43.76217246,-124.9812389
2018,Seep,43.75704978,-125.0007697
2018,Seep,43.7568921,-125.0013233
2018,Seep,43.75672274,-125.0019428
2018,Seep,43.75690616,-125.0016997
2018,Seep,43.75701758,-125.0011692
2018,Seep,43.75982393,-124.9876243
2018,Seep,43.75972858,-124.9880943
2018,Seep,43.7596244,-124.9885341
2018,Seep,43.76354909,-124.973013
2018,Seep,43.75945281,-124.9892619
2018,Seep,43.76536814,-124.9665744
2018,Seep,43.76572909,-124.9652957
2018,Seep,43.76890369,-124.9548572
2018,Seep,44.59405661,-124.2133394
2018,Seep,45.69912665,-124.7437205
2018,Seep,45.6946858,-124.7255897
2018,Seep,45.68524137,-124.7569648
2018,Seep,45.68535514,-124.7675783
2018,Uncertain,46.24085112,-125.1065414
2018,Seep,46.25011396,-125.0463442
2018,Seep,46.24844747,-125.0477674
2018,Seep,46.24695474,-125.0491113
2018,Seep,46.25928806,-125.0355898
2018,Seep,46.40041039,-124.7614086
2018,Seep,46.58281177,-124.9896035
2018,Seep,46.58292393,-124.9995437
2018,Seep,47.09203075,-125.6712255
2018,Seep,39.07264,-124.3133454
2018,Seep,37.98650463,-123.3173704
2018,Uncertain,41.59040163,-124.2184548
2018,Uncertain,41.25471716,-124.2864452
2018,Seep,34.41855638,-120.2011071
2018,Seep,34.4264831,-120.1847204
2018,Seep,34.42670433,-120.1842505
2018,Seep,34.42694752,-120.1837236
2018,Seep,34.42868877,-120.1800942
2018,Seep,34.42906925,-120.1793297
2018,Seep,34.43718703,-120.1618537
2018,Seep,34.43688302,-120.1624263
2018,Seep,34.43668533,-120.1629416
2018,Seep,34.43639912,-120.1469387
2018,Seep,34.4363104,-120.1638738
2018,Seep,34.43179449,-120.1420677
2018,Seep,34.42292924,-120.1342882
2018,Uncertain,34.32715899,-119.9966582
2018,Uncertain,34.32619244,-119.9959607
2018,Uncertain,34.32647358,-119.9961657
2018,Uncertain,34.3259385,-119.9956671
2018,Uncertain,34.32597324,-119.9963475
2018,Uncertain,34.32578353,-119.9958493
2018,Uncertain,34.32656882,-119.9962206
2018,Uncertain,34.32857425,-119.997729
2018,Uncertain,34.32677041,-119.9982126
2018,Uncertain,34.32619218,-119.9961774
2018,Uncertain,34.32496781,-119.9977486
2018,Seep,34.23819757,-119.8043273
2018,Uncertain,34.29343425,-119.6805393
2018,Seep,34.30489295,-119.6587069
2018,Seep,34.30705465,-119.6537856
2018,Seep,34.30962868,-119.6497856
2018,Seep,34.31421085,-119.6417004
2018,Seep,34.31448865,-119.6413006
2018,Seep,34.31506105,-119.6404063
2018,Seep,34.31522228,-119.6401221
2018,Seep,34.31283286,-119.5988381
2018,Seep,34.31248875,-119.5981635
2018,Seep,34.31229496,-119.5977262
2018,Seep,34.31215159,-119.5973783
2018,Seep,34.20925589,-119.4475422
2018,Seep,34.19540302,-119.4724486
2018,Seep,34.19444385,-119.4735925
2018,Seep,34.0840732,-119.9365673
